20	1.82832394557408E-07	6.07731692525704E-07	2.85000709254746E-07	8.22646768483537E-07	2.88778096546594E-07
25	8.7382750280085E-07	6.92573223659565E-07	8.81111930084444E-07	1.39791245601373E-06	8.03897705736745E-07
31.5	1.98097018255794E-06	6.22641323388962E-07	1.05579681530799E-06	7.59320357701654E-07	1.72462682712649E-06
40	8.77314221270353E-07	2.56969144629693E-07	3.81868431986732E-07	7.36116078314808E-07	4.61559523046162E-07
50	4.93249501687387E-07	8.42509621179488E-07	3.8182129173947E-06	5.40562268724898E-06	4.55857934866799E-06
63	2.44040279540059E-07	4.77600451631588E-07	6.12683152212412E-07	8.27440544526326E-07	7.46598971090862E-07
80	5.16425302521384E-07	3.98763091880028E-07	7.2562340847071E-07	6.45970089863113E-07	2.15778342749218E-07
100	2.65924370523862E-07	8.92311291522674E-08	8.13607670124839E-08	5.45217844205581E-08	8.50773886895695E-08
125	2.66827868244945E-07	1.10658596952362E-07	6.8148686693803E-08	1.09452017227341E-07	8.69126282054822E-08
160	2.26331806629787E-07	9.87242430028346E-08	1.24540520118899E-07	8.3914940773866E-08	4.82482285235619E-08
200	2.52123584232322E-07	1.76507683136151E-07	1.3572559964814E-07	1.810636973687E-07	4.57962912037146E-08
250	2.86414323369399E-08	1.95235738686961E-08	4.10182110499591E-08	5.52281136378952E-08	2.11302868535768E-08
315	4.48355947924028E-08	1.07210880173625E-08	2.63391566335258E-08	2.06139052494336E-08	1.46333487549555E-08
400	2.59546357739282E-08	1.80617458767074E-08	1.05481445800137E-08	2.84295147423563E-08	1.12864091406095E-08
500	8.54298942698506E-09	6.1852758470593E-09	8.74929906302668E-09	1.68099312247705E-08	6.33728314269888E-09
630	8.78451356101095E-09	5.26310994786172E-09	8.63864979550044E-09	1.10140492282085E-08	5.35856514716215E-09
800	8.15261724795846E-09	5.48523715337979E-09	8.6999678572397E-09	1.19559500078026E-08	6.1074274526618E-09
1000	9.49562473095966E-09	6.59708687678062E-09	9.92178961212176E-09	1.40259333036852E-08	8.14601452958641E-09
1250	1.11492211019026E-08	7.84103004747294E-09	1.34529125617178E-08	1.63530060603989E-08	9.59637347364151E-09
1600	1.13599405437981E-08	9.98636373594763E-09	1.17967493551419E-08	1.65400582119446E-08	1.02296384696388E-08
2000	1.55352317676716E-08	1.34643123317346E-08	1.62056235097907E-08	2.37935093849728E-08	1.48399399435561E-08
2500	1.90323206084031E-08	1.44654013212175E-08	1.82135142523521E-08	2.77739289344936E-08	1.62251012625347E-08
3150	2.15638209510871E-08	1.82787456282085E-08	2.10181685389443E-08	2.78744582971058E-08	1.89827407126586E-08
4000	2.59567904947744E-08	2.22246558934103E-08	2.61723158700988E-08	3.30977520945908E-08	2.3762028789065E-08
5000	3.22631166227438E-08	2.73294666897073E-08	3.33280283371096E-08	4.03457320885536E-08	2.95447435405549E-08

